judged_run,generator,difficulty,n_pass,pass_rate,n_score,mean_score
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),6.0,14,1.0,14,0.95
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),6.5,14,0.8571428571428571,14,0.8642857142857142
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),7.0,14,0.8571428571428571,14,0.7999999999999999
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),7.5,1,1.0,1,0.95
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),8.0,14,0.9285714285714286,14,0.8714285714285713
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),8.5,5,0.4,5,0.53
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),9.0,14,0.8571428571428571,14,0.8214285714285714
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),9.5,14,0.9285714285714286,14,0.7999999999999999
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),10.0,14,0.9285714285714286,14,0.8571428571428571
qwen3_8b_thinking,Qwen3-8B (thinking),5.0,14,1.0,14,0.8928571428571429
qwen3_8b_thinking,Qwen3-8B (thinking),5.5,14,0.9285714285714286,14,0.9071428571428571
qwen3_8b_thinking,Qwen3-8B (thinking),6.0,14,1.0,14,0.95
qwen3_8b_thinking,Qwen3-8B (thinking),6.5,14,1.0,14,0.9357142857142857
qwen3_8b_thinking,Qwen3-8B (thinking),7.0,14,1.0,14,0.8714285714285713
qwen3_8b_thinking,Qwen3-8B (thinking),7.5,1,1.0,1,0.95
qwen3_8b_thinking,Qwen3-8B (thinking),8.0,14,1.0,14,0.8714285714285713
qwen3_8b_thinking,Qwen3-8B (thinking),8.5,5,1.0,5,0.8300000000000001
qwen3_8b_thinking,Qwen3-8B (thinking),9.0,14,0.9285714285714286,14,0.8428571428571427
qwen3_8b_thinking,Qwen3-8B (thinking),9.5,14,0.9285714285714286,14,0.7999999999999999
qwen3_8b_thinking,Qwen3-8B (thinking),10.0,14,1.0,14,0.9214285714285714
